wavelength (nm),absorption (m^-1),scattering (m^-1)
646,0.328771,0.000973864
647,0.33328,0.00096748
648,0.336031,0.000961148
649,0.337261,0.000954867
650,0.34,0.000948637
651,0.346473,0.000942459
652,0.354443,0.000936329
653,0.36086,0.000930249
654,0.36552,0.000924216
655,0.371,0.000918233
656,0.379205,0.000912299
657,0.38858,0.00090641
658,0.396933,0.00090057
659,0.403738,0.000894776
660,0.41,0.000889028
661,0.416316,0.000883326
662,0.421892,0.00087767
663,0.425473,0.000872057
664,0.427267,0.000866491
665,0.429,0.000860967
666,0.43186,0.000855486
667,0.434888,0.00085005
668,0.436651,0.000844656
669,0.437374,0.000839305
670,0.439,0.000833996
671,0.442831,0.000828727
672,0.446836,0.000823501
673,0.448228,0.000818314
674,0.447396,0.000813168
675,0.448,0.000808063
676,0.452668,0.000802998
677,0.458693,0.000797972
678,0.462323,0.000792983
679,0.46334,0.000788034
680,0.465,0.000783124
681,0.469671,0.000778251
682,0.475506,0.000773416
683,0.479853,0.000768618
684,0.482573,0.000763857
685,0.486,0.000759132
686,0.491858,0.000754444
687,0.498773,0.000749791
688,0.504818,0.000745175
689,0.50995,0.000740593
690,0.516,0.000736045
691,0.524322,0.000731533
692,0.533593,0.000727055
693,0.542024,0.000722611
694,0.549776,0.000718201
695,0.559,0.000713823
696,0.571332,0.000709479
697,0.585185,0.000705168
698,0.598461,0.000700888
699,0.610898,0.000696642
700,0.624,0.000692427
701,0.638935,0.000688244
702,0.654938,0.000684091
703,0.670973,0.000679971
704,0.687006,0.00067588
705,0.704,0.00067182
706,0.722945,0.000667791
707,0.744251,0.000663791
708,0.768628,0.000659821
709,0.796289,0.000655881
710,0.827,0.000651969
711,0.860747,0.000648087
712,0.896148,0.000644233
713,0.931794,0.000640408
714,0.968022,0.000636611
715,1.007,0.000632842
716,1.05044,0.0006291
717,1.09617,0.000625385
718,1.14145,0.000621698
719,1.18582,0.000618037
720,1.231,0.000614403
721,1.27859,0.000610796
722,1.32924,0.000607216
723,1.38379,0.00060366
724,1.43945,0.000600132
725,1.489,0.000596628
726,1.53309,0.000593149
727,1.61011,0.000589697
728,1.7607,0.000586268
729,1.8444,0.000582864
730,1.9624,0.000579485
731,2.0801,0.000576131
732,2.1974,0.000572801
733,2.3144,0.000569494
734,2.4482,0.000566211
735,2.5304,0.00056295
736,2.6123,0.000559714
737,2.64505,0.000556501
738,2.6733,0.00055331
739,2.7377,0.000550142
740,2.768,0.000546996
741,2.7982,0.000543873
742,2.8113,0.000540772
743,2.8245,0.000537693
744,2.8376,0.000534635
745,2.8338,0.000531599
746,2.8468,0.000528585
747,2.843,0.000525592
748,2.856,0.000522619
749,2.85222,0.000519667
750,2.8484,0.000516736
751,2.8613,0.000513826
752,2.8575,0.000510936
753,2.8704,0.000508066
754,2.8666,0.000505216
755,2.8794,0.000502386
756,2.8756,0.000499576
757,2.87046,0.000496785
758,2.8681,0.000494013
759,2.8643,0.00049126
760,2.8605,0.000488526
761,2.8733,0.000485811
762,2.8695,0.000483115
763,2.8657,0.000480438
764,2.86118,0.000477779
765,2.8582,0.000475138
766,2.8545,0.000472516
767,2.8344,0.000469911
768,2.8307,0.000467323
769,2.827,0.000464754
770,2.8234,0.000462202
771,2.8158,0.000459668
772,2.7998,0.000457151
773,2.7799,0.00045465
774,2.7763,0.000452167
775,2.7565,0.0004497
776,2.7529,0.000447251
777,2.74563,0.000444817
778,2.7297,0.000442401
779,2.7101,0.00044
780,2.6905,0.000437615
781,2.6549,0.000435247
782,2.63979,0.000432895
783,2.632,0.000430558
784,2.6127,0.000428236
785,2.5933,0.000425931
786,2.558,0.00042364
787,2.5229,0.000421366
788,2.51291,0.000419106
789,2.5005,0.000416861
790,2.4656,0.000414631
791,2.4465,0.000412416
792,2.4117,0.000410215
793,2.38883,0.00040803
794,2.374,0.000405858
795,2.3552,0.0004037
796,2.3365,0.000401558
797,2.3178,0.000399429
798,2.30361,0.000397314
799,2.2805,0.000395213
800,2.2462,0.000393126
801,2.2434,0.000391052
802,2.23807,0.000388992
803,2.2222,0.000386946
804,2.2038,0.000384913
805,2.2011,0.000382893
806,2.2038,0.000380886
807,2.1956,0.000378892
808,2.1773,0.000376911
809,2.1902,0.000374943
810,2.1875,0.000372988
811,2.18851,0.000371045
812,2.1976,0.000369115
813,2.2103,0.000367197
814,2.223,0.000365292
815,2.23308,0.000363399
816,2.2484,0.000361518
817,2.2764,0.00035965
818,2.3043,0.000357792
819,2.31136,0.000355947
820,2.3294,0.000354114
821,2.3878,0.000352293
822,2.446,0.000350483
823,2.47551,0.000348684
824,2.5163,0.000346898
825,2.6199,0.000345122
826,2.7689,0.000343358
827,2.83076,0.000341605
828,2.9139,0.000339863
829,3.1075,0.000338132
830,3.21308,0.000336412
831,3.2966,0.000334702
832,3.4588,0.000333004
833,3.6055,0.000331316
834,3.66155,0.000329639
835,3.7022,0.000327972
836,3.7879,0.000326316
837,3.8282,0.000324671
838,3.8539,0.000323035
839,3.9092,0.00032141
840,3.9494,0.000319795
841,3.97239,0.00031819
842,3.9997,0.000316594
843,4.0397,0.000315009
844,4.05653,0.000313434
845,4.0748,0.000311868
846,4.1145,0.000310312
847,4.12683,0.000308766
848,4.1493,0.000307229
849,4.2036,0.000305702
850,4.1986,0.000304184
851,4.2232,0.000302675
852,4.25357,0.000301176
853,4.2723,0.000299686
854,4.2803,0.000298205
855,4.3064,0.000296734
856,4.3601,0.000295271
857,4.3694,0.000293817
858,4.3792,0.000292372
859,4.4326,0.000290936
860,4.45336,0.000289509
861,4.4661,0.00028809
862,4.5047,0.000286679
863,4.52734,0.000285278
864,4.5524,0.000283885
865,4.6052,0.0002825
866,4.658,0.000281124
867,4.69036,0.000279756
868,4.7052,0.000278397
869,4.71356,0.000277045
870,4.7521,0.000275702
871,4.8332,0.000274367
872,4.86718,0.000273039
873,4.8941,0.00027172
874,4.9604,0.000270408
875,5.00551,0.000269105
876,5.0495,0.000267809
877,5.1154,0.000266521
878,5.15329,0.000265241
879,5.2038,0.000263968
880,5.2979,0.000262703
881,5.34581,0.000261445
882,5.3856,0.000260195
883,5.4649,0.000258952
884,5.52721,0.000257717
885,5.5661,0.000256489
886,5.5963,0.000255268
887,5.6527,0.000254054
888,5.7454,0.000252848
889,5.78864,0.000251649
890,5.8314,0.000250456
891,5.9235,0.000249271
892,5.98141,0.000248093
893,6.0088,0.000246921
894,6.03605,0.000245757
895,6.0936,0.000244599
896,6.185,0.000243448
897,6.2265,0.000242304
898,6.2692,0.000241166
899,6.3601,0.000240036
900,6.40734,0.000238911
901,6.4575,0.000237793
902,6.5618,0.000236682
903,6.63493,0.000235577
904,6.6724,0.000234478
905,6.70015,0.000233386
906,6.7686,0.0002323
907,6.8997,0.00023122
908,6.98747,0.000230147
909,7.0366,0.00022908
910,7.08601,0.000228019
911,7.1867,0.000226964
912,7.3579,0.000225915
913,7.48412,0.000224872
914,7.5618,0.000223835
915,7.63175,0.000222804
916,7.7922,0.000221779
917,8.0852,0.00022076
918,8.28896,0.000219746
919,8.4095,0.000218739
920,8.53135,0.000217737
921,8.8006,0.00021674
922,9.268,0.00021575
923,9.5829,0.000214765
924,9.8192,0.000213785
925,10.1232,0.000212811
926,10.4222,0.000211843
927,10.667,0.00021088
928,11.131,0.000209923
929,11.9441,0.000208971
930,12.4581,0.000208024
931,12.8093,0.000207082
932,13.2722,0.000206146
933,13.7382,0.000205216
934,14.1016,0.00020429
935,14.6496,0.000203369
936,15.5737,0.000202454
937,16.3425,0.000201544
938,16.8802,0.000200639
939,17.3275,0.000199739
940,18.1811,0.000198843
941,19.6308,0.000197953
942,20.4929,0.000197068
943,21.055,0.000196188
944,21.8763,0.000195312
945,22.8721,0.000194442
946,23.8476,0.000193576
947,24.6816,0.000192715
948,25.4418,0.000191859
949,27.0131,0.000191008
950,29.7625,0.000190161
951,31.5131,0.000189319
952,32.7359,0.000188481
953,34.3879,0.000187648
954,36.2238,0.00018682
955,37.8461,0.000185996
956,39.3028,0.000185177
957,40.6764,0.000184362
958,41.8442,0.000183552
959,42.739,0.000182746
960,43.8514,0.000181944
961,45.3749,0.000181147
962,46.097,0.000180354
963,46.3246,0.000179565
964,46.6348,0.000178781
965,47.0099,0.000178001
966,47.3262,0.000177225
967,47.5625,0.000176454
968,47.7219,0.000175686
969,47.8534,0.000174923
970,47.9995,0.000174164
971,48.143,0.000173409
972,48.2686,0.000172657
973,48.4315,0.000171911
